Bregma	lam0.2	Centroid_X	Centroid_Y
0.26	3	-3211.562145	2608.541476
0.26	2	-3207.923151	2621.795437
0.26	2	-3209.578004	2633.153494
0.26	2	-3203.853515	2756.045983
0.26	4	-3202.682705	2608.803635
0.26	7	-3203.466059	2743.162728
0.26	2	-3195.694211	2718.529698
0.26	2	-3197.408909	2641.390236
0.26	2	-3196.239607	2684.324609
0.26	7	-3194.392325	2743.627336
0.26	2	-3188.59407	2652.129395
0.26	6	-3188.620934	2696.802046
0.26	3	-3181.721988	2770.854758
0.26	4	-3176.489867	2594.203216
0.26	4	-3167.752902	2634.431923
0.26	3	-3169.754536	2755.529051
0.26	4	-3167.715174	2615.887815
0.26	3	-3159.322797	2714.586785
0.26	2	-3164.869293	2665.188457
0.26	4	-3155.099045	2604.352561
0.26	11	-3154.404821	2745.502415
0.26	4	-3146.877053	2617.900145
0.26	11	-3147.432675	2733.732002
0.26	4	-3125.241084	2624.485503
0.26	11	-3124.976705	2731.151119
0.26	2	-3122.581483	2641.383344
0.26	3	-3119.506157	2678.070038
0.26	7	-3119.181868	2663.928951
0.26	4	-3120.241528	2616.716665
0.26	3	-3116.974894	2767.250674
0.26	4	-3110.812463	2600.202446
0.26	3	-3104.333901	2672.207396
0.26	11	-3100.737635	2722.995641
0.26	6	-3095.860768	2708.897098
0.26	2	-3076.631272	2710.621974
0.26	2	-3077.580226	2669.997207
0.26	4	-3078.593484	2621.716056
0.26	3	-3066.722368	2708.983101
0.26	2	-3056.927113	2732.960483
0.26	7	-3049.507903	2731.935393
0.26	4	-3044.831971	2613.367782
0.26	7	-3045.173279	2693.879782
0.26	7	-3036.398333	2648.676724
0.26	2	-3032.499476	2773.286123
0.26	3	-3029.29445	2757.745117
0.26	6	-3200.149524	2619.082841
0.26	6	-3198.060303	2653.536863
0.26	11	-3148.882287	2743.548583
0.26	11	-3139.201881	2738.684396
0.26	9	-3139.217759	2693.449761
0.26	11	-3138.441214	2728.729542
0.26	11	-3118.51498	2725.293693
0.26	11	-3112.026211	2717.011537
0.26	4	-3035.051638	2622.036243
0.26	2	-3036.693018	2711.936106
0.26	2	-3207.388441	2682.898565
0.26	4	-3173.525297	2632.598396
0.26	4	-3167.127097	2645.300879
0.26	2	-3146.058098	2678.97568
0.26	2	-3070.896877	2727.890355
0.26	4	-3170.534138	2601.251088
0.26	4	-3102.3339	2601.291192
0.26	2	-3153.305023	2681.837044
0.26	2	-3062.830518	2695.139537
0.26	4	-3055.668445	2620.448818
0.26	3	-3207.682369	2928.256643
0.26	6	-3196.768586	2947.547976
0.26	3	-3189.522852	2797.169079
0.26	13	-3187.404543	2916.659628
0.26	7	-3184.595039	2893.62482
0.26	7	-3175.635558	2970.663849
0.26	7	-3167.737258	2906.839139
0.26	6	-3149.891705	2868.135792
0.26	7	-3142.55238	2895.921707
0.26	7	-3133.680559	2964.778251
0.26	6	-3124.018977	2812.890125
0.26	3	-3113.733318	2858.475109
0.26	6	-3111.51371	2894.470535
0.26	2	-3103.090414	2801.432627
0.26	2	-3097.562276	2941.076915
0.26	7	-3092.498332	2835.225089
0.26	6	-3091.231889	2979.452622
0.26	2	-3085.984217	2880.581858
0.26	2	-3081.059555	2873.794041
0.26	7	-3078.050403	2822.269803
0.26	6	-3070.630996	2896.702466
0.26	7	-3064.547658	2852.341929
0.26	8	-3063.548825	2840.881344
0.26	3	-3062.914633	2962.719477
0.26	2	-3057.858475	2908.984423
0.26	7	-3042.282754	2869.957718
0.26	7	-3036.201446	2839.585254
0.26	2	-3027.500559	2955.386706
0.26	7	-3027.508658	2974.602819
0.26	3	-3168.262383	2852.657555
0.26	2	-3162.502386	2816.109525
0.26	7	-3148.050168	2849.178015
0.26	3	-3091.857586	2826.148639
0.26	2	-3120.045497	2872.768746
0.26	7	-3207.378954	2974.58235
0.26	2	-3161.119014	2796.422893
0.26	7	-3101.822649	2859.675401
0.26	3	-3062.804424	2803.761855
0.26	2	-3166.486019	2886.569736
