x,y,integrity,signal
355,1308,0.022523522,3.0110548
1758,101,0.106681705,3.0825346
693,407,0.10792476,3.1054106
1713,1342,0.1150493,3.5576863
1640,365,0.12203246,3.0063834
1391,894,0.15062797,3.1298134
318,1712,0.2160325,3.1447773
342,463,0.23271012,3.0047097
772,517,0.23451221,3.0107982
1156,1438,0.2495628,3.4655416
1297,214,0.25201595,3.1530504
133,414,0.2548653,3.332166
692,616,0.25724882,3.0580213
1365,1013,0.25729275,3.1244466
961,639,0.25758123,3.0116775
1367,707,0.2582116,3.1582718
773,1255,0.25836074,3.0846372
1240,1625,0.26672077,3.0170584
546,669,0.27490485,3.0199342
1043,1553,0.27639925,3.3233562
1791,14,0.27773845,3.0013678
446,893,0.2853046,3.073294
1038,1306,0.28638208,3.1545913
306,621,0.28775764,3.1075768
1361,844,0.28812182,3.0051842
1503,532,0.28919494,3.0719619
916,601,0.29118752,3.035878
262,222,0.29531133,3.1142414
923,88,0.29609054,3.0106351
1100,1128,0.2974553,3.5947566
1619,560,0.29806352,3.0116143
1680,448,0.29892355,3.0151987
247,250,0.30222094,3.0149958
713,359,0.30293888,3.354703
1034,274,0.30483943,3.440769
720,325,0.30850422,3.0459871
1771,1101,0.31750536,3.4200695
694,1182,0.32490456,3.0334177
1065,353,0.325315,3.1874442
1008,629,0.32700574,3.0873377
433,446,0.3292446,3.2806356
608,909,0.33134127,3.0057223
1726,615,0.33386648,3.2165432
560,290,0.34108043,3.0093088
1119,309,0.3413217,3.0575247
1072,143,0.34329367,3.021727
1710,1218,0.34435946,3.121282
341,711,0.34813678,3.2133706
141,912,0.35049295,3.0122879
292,924,0.35616183,3.762239
1210,335,0.35717726,3.011432
556,249,0.36310267,3.131047
114,455,0.3709669,3.066123
1103,1653,0.37458485,3.1282046
323,375,0.37478745,3.159364
263,677,0.37771022,3.0628211
864,1231,0.37893337,3.5322816
1461,1203,0.38117355,3.0351877
692,1457,0.38164198,3.1019661
1093,874,0.38194335,3.0123358
1007,849,0.3850968,3.053985
1323,433,0.38829118,3.355274
949,712,0.3907503,3.1867397
58,1691,0.39140683,3.0899591
1499,1744,0.3917414,3.1886349
135,1407,0.39376163,3.2943757
1379,280,0.3965901,3.0434954
361,665,0.3967991,3.1392078
1434,723,0.39935333,3.0177248
990,184,0.39991206,3.586118
285,119,0.40381193,3.0235562
800,369,0.40570456,3.0279562
645,831,0.4090098,3.2372603
11,1323,0.4129718,3.0026343
865,234,0.41662085,3.0927494
780,1669,0.42306852,3.0689435
1421,1320,0.42322874,3.0465124
294,536,0.42429686,3.029114
1379,1657,0.42680418,3.0586455
746,393,0.42697263,3.096645
1576,864,0.42861593,3.1551166
1139,32,0.42889726,3.0025516
1119,133,0.43197185,3.033685
1049,86,0.43489766,3.0223958
447,134,0.4364462,3.1938872
1305,271,0.43746257,3.0599186
139,355,0.43866473,3.0979607
1322,398,0.44006324,3.2885854
840,1068,0.44016564,3.0198097
1285,799,0.4404078,3.2249982
1500,636,0.44174898,3.009436
575,1514,0.4439171,3.1721213
1311,1444,0.44714046,3.0009353
510,952,0.44913936,3.0096462
561,354,0.44983923,3.1494863
762,272,0.45069206,3.0595083
1678,1009,0.4521494,3.0046566
930,437,0.45252037,3.0454788
745,141,0.45664537,3.0041764
1032,982,0.459347,3.0267982
517,418,0.45972365,3.0731099
1364,1033,0.45979226,3.0043442
1318,246,0.46089244,3.0016503
412,981,0.46128774,3.1709406
1037,212,0.46526557,3.2702103
370,1648,0.46595806,3.0498662
1296,1701,0.46652222,3.7973
381,331,0.46775252,3.1903908
933,659,0.4690596,3.8610413
1398,1463,0.47010106,3.177389
658,1288,0.47092307,3.0026817
735,1229,0.4720953,3.0011928
1581,253,0.47245276,3.0185025
358,546,0.47319818,3.0633152
1665,928,0.47351056,3.7164328
655,275,0.47562099,3.051586
1176,269,0.47596478,3.0662122
265,1704,0.47743344,3.161347
1096,910,0.47755265,3.0395849
322,1122,0.47828704,3.0701923
740,1088,0.47896314,3.034319
1149,53,0.48205388,3.0312698
105,1253,0.48220766,3.6147473
1006,500,0.4847809,3.0226314
52,407,0.48614037,3.0424023
1118,932,0.48811418,3.0526838
1015,519,0.4890529,3.0201166
1349,374,0.49252796,3.0384352
509,13,0.49324512,3.027097
678,474,0.49472117,3.01247
735,154,0.4959721,3.4781218
726,740,0.49671757,3.0165424
1524,883,0.49703002,3.065418
850,889,0.49743068,3.449147
4,756,0.49793315,3.0097282
215,597,0.49914938,3.004608
273,243,0.50552815,3.0508611
133,781,0.50625217,3.093025
770,1142,0.5089228,4.0989
368,423,0.51062363,3.3090389
1170,203,0.5115481,3.3395643
1378,164,0.5123262,3.1374793
1066,327,0.5145744,3.4192774
479,303,0.51765937,3.1699748
918,308,0.5188377,3.0996919
797,740,0.5221691,3.0294323
52,855,0.5229235,3.131799
1017,250,0.52413523,3.1826963
1622,231,0.5242195,3.0695248
466,250,0.5247893,3.0029323
1077,519,0.526681,3.2838752
1293,852,0.5282238,3.0094936
1772,100,0.52839106,3.1730053
1469,1325,0.529281,3.128647
1559,654,0.52964485,3.0935836
1424,1446,0.53036684,3.0830033
1121,1560,0.532087,3.43163
814,1100,0.53317523,3.0280838
1552,643,0.53351533,3.0158148
208,1035,0.53391904,3.009827
1299,1076,0.5345252,3.2035716
1680,1066,0.53864247,3.0387616
1224,279,0.5392968,3.2124708
1541,129,0.53984624,3.0643976
277,483,0.5398474,3.0682118
753,306,0.5400734,3.013238
